##这是一个注释,,,,
ID,名次,荣誉,铜钱,元宝
int,string,int,int,int
1,1,2000,200000,500
2,2,1800,180000,450
3,3,1700,170000,400
4,4,1600,160000,380
5,5,1500,150000,360
6,6,1400,140000,340
7,7,1300,130000,330
8,8,1200,120000,320
9,9,1100,110000,310
10,10,1000,100000,300
11,11#20,950,95000,250
12,21#30,900,90000,200
13,31#40,850,85000,150
14,41#50,800,80000,130
15,51#70,750,75000,120
16,71#100,700,70000,110
17,101#200,650,65000,100
18,201#300,600,60000,90
19,301#400,550,55000,80
20,401#500,500,50000,70
21,501#700,450,45000,60
22,701#1000,400,40000,55
23,1001#2000,350,35000,50
24,2001#3000,300,30000,50
25,3001#4000,250,25000,50
26,4001#5000,200,20000,50
27,5001#7000,150,15000,50
28,7001#30000,100,10000,50
