##这是一个注释,,,,
名次,帐号,名字,初始英雄,等级
int,string,utf8string,string,int
1,*ar*1,纳兰天甲,1001,20
2,*ar*2,夏侯天甲,1001,20
3,*ar*3,诸葛天甲,1001,20
4,*ar*4,司马天甲,1001,20
5,*ar*5,上官天甲,1001,20
6,*ar*6,欧阳天甲,1001,20
7,*ar*7,东方天甲,1001,20
8,*ar*8,皇甫天甲,1001,20
9,*ar*9,淳于天甲,1001,20
10,*ar*10,轩辕天甲,1001,20
11,*ar*11,纳兰地甲,1001,20
12,*ar*12,夏侯地甲,1001,20
13,*ar*13,诸葛地甲,1001,20
14,*ar*14,司马地甲,1001,20
15,*ar*15,上官地甲,1001,20
16,*ar*16,欧阳地甲,1001,20
17,*ar*17,东方地甲,1001,20
18,*ar*18,皇甫地甲,1001,20
19,*ar*19,淳于地甲,1001,20
20,*ar*20,轩辕地甲,1001,20
21,*ar*21,纳兰玄甲,1001,20
22,*ar*22,夏侯玄甲,1001,20
23,*ar*23,诸葛玄甲,1001,20
24,*ar*24,司马玄甲,1001,20
25,*ar*25,上官玄甲,1001,20
26,*ar*26,欧阳玄甲,1001,20
27,*ar*27,东方玄甲,1001,20
28,*ar*28,皇甫玄甲,1001,20
29,*ar*29,淳于玄甲,1001,20
30,*ar*30,轩辕玄甲,1001,20
31,*ar*31,纳兰黄甲,1001,20
32,*ar*32,夏侯黄甲,1001,20
33,*ar*33,诸葛黄甲,1001,20
34,*ar*34,司马黄甲,1001,20
35,*ar*35,上官黄甲,1001,20
36,*ar*36,欧阳黄甲,1001,20
37,*ar*37,东方黄甲,1001,20
38,*ar*38,皇甫黄甲,1001,20
39,*ar*39,淳于黄甲,1001,20
40,*ar*40,轩辕黄甲,1001,20
41,*ar*41,纳兰宇甲,1001,20
42,*ar*42,夏侯宇甲,1001,20
43,*ar*43,诸葛宇甲,1001,20
44,*ar*44,司马宇甲,1001,20
45,*ar*45,上官宇甲,1001,20
46,*ar*46,欧阳宇甲,1001,20
47,*ar*47,东方宇甲,1001,20
48,*ar*48,皇甫宇甲,1001,20
49,*ar*49,淳于宇甲,1001,20
50,*ar*50,轩辕宇甲,1001,20
51,*ar*51,纳兰宙甲,1001,20
52,*ar*52,夏侯宙甲,1001,20
53,*ar*53,诸葛宙甲,1001,20
54,*ar*54,司马宙甲,1001,20
55,*ar*55,上官宙甲,1001,20
56,*ar*56,欧阳宙甲,1001,20
57,*ar*57,东方宙甲,1001,20
58,*ar*58,皇甫宙甲,1001,20
59,*ar*59,淳于宙甲,1001,20
60,*ar*60,轩辕宙甲,1001,20
61,*ar*61,纳兰洪甲,1001,20
62,*ar*62,夏侯洪甲,1001,20
63,*ar*63,诸葛洪甲,1001,20
64,*ar*64,司马洪甲,1001,20
65,*ar*65,上官洪甲,1001,20
