##,,,
²ãÊý,¹ÖÎï×éID,ÐÞÎª½±Àø,µôÂäID
int,string,int,string
1,1309#1409#386,900,1001#1101
2,1310#1410#387,1000,1002#1101
3,1311#1411#388,1100,1003#1101
4,1312#1412#389,1200,1004#1101
5,1313#1413#390,1300,1005#1101
6,1314#1414#391,1400,1006#1101
7,1315#1415#392,1500,1007#1101
8,1316#1416#393,1600,1008#1101
9,1317#1417#394,1700,1009#1101
10,1318#1418#395,1800,1010#1101#1102#1104
11,1319#1419#396,1900,1011#1101#1104
12,1320#1420#397,2000,1012#1101#1104
13,1321#1421#398,2100,1013#1101#1104
14,1322#1422#399,2200,1014#1101#1104
15,1323#1423#400,2300,1015#1101#1104
16,1324#1424#401,2400,1016#1101#1104
17,1325#1425#402,2500,1017#1101#1104
18,1326#1426#403,2600,1018#1101#1104
19,1327#1427#404,2700,1019#1101#1104
20,1328#1428#405,2800,1020#1101#1102#1104
21,1329#1429#406,2900,1021#1101#1104
22,1330#1430#407,3000,1022#1101#1104
23,1331#1431#408,3100,1023#1101#1104
24,1332#1432#409,3200,1024#1101#1104
25,1333#1433#410,3300,1025#1101#1104
26,1334#1434#411,3400,1026#1101#1104
27,1335#1435#412,3500,1027#1101#1104
28,1336#1436#413,3600,1028#1101#1104
29,1337#1437#414,3700,1029#1101#1104
30,1338#1438#415,3800,1030#1101#1102#1105
31,1339#1439#416,3900,1031#1101#1105
32,1340#1440#417,4000,1032#1101#1105
33,1341#1441#418,4100,1033#1101#1105
34,1342#1442#419,4200,1034#1101#1105
35,1343#1443#420,4300,1035#1101#1105
36,1344#1444#421,4400,1036#1101#1105
37,1345#1445#422,4500,1037#1101#1105
38,1346#1446#423,4600,1038#1101#1105
39,1347#1447#424,4700,1039#1101#1105
40,1348#1448#425,4800,1040#1101#1102#1105
41,1349#1449#426,4900,1041#1101#1105
42,1350#1450#427,5000,1042#1101#1105
43,1351#1451#428,5100,1043#1101#1105
44,1352#1452#429,5200,1044#1101#1105
45,1353#1453#430,5300,1045#1101#1105
46,1354#1454#431,5400,1046#1101#1105
47,1355#1455#432,5500,1047#1101#1105
48,1356#1456#433,5600,1048#1101#1105
49,1357#1457#434,5700,1049#1101#1105
50,1358#1458#435,5800,1050#1101#1102#1106
51,1359#1459#436,6000,1051#1101#1106
52,1360#1460#437,6200,1052#1101#1106
53,1361#1461#438,6400,1053#1101#1106
54,1362#1462#439,6600,1054#1101#1106
55,1363#1463#440,6800,1055#1101#1106
56,1364#1464#441,7000,1056#1101#1106
57,1365#1465#442,7200,1057#1101#1106
58,1366#1466#443,7400,1058#1101#1106
59,1367#1467#444,7600,1059#1101#1106
60,1368#1468#445,7800,1060#1101#1102#1107
61,1369#1469#446,8000,1061#1101#1107
62,1370#1470#447,8200,1062#1101#1107
63,1371#1471#448,8400,1063#1101#1107
64,1372#1472#449,8600,1064#1101#1107
65,1373#1473#450,8800,1065#1101#1107
66,1374#1474#451,9000,1066#1101#1107
67,1375#1475#452,9200,1067#1101#1107
68,1376#1476#453,9400,1068#1101#1107
69,1377#1477#454,9600,1069#1101#1107
70,1378#1478#455,9800,1070#1101#1102#1103#1108
71,1379#1479#456,10000,1071#1101#1108
72,1380#1480#457,10200,1072#1101#1108
73,1381#1481#458,10400,1073#1101#1108
74,1382#1482#459,10600,1074#1101#1108
75,1383#1483#460,10800,1075#1101#1108
76,1384#1484#461,11000,1076#1101#1108
77,1385#1485#462,11200,1077#1101#1108
78,1386#1486#463,11400,1078#1101#1108
79,1387#1487#464,11600,1079#1101#1108
80,1388#1488#465,11800,1080#1101#1102#1103#1109
81,1389#1489#466,12300,1081#1101#1109
82,1390#1490#467,12800,1082#1101#1109
83,1391#1491#468,13300,1083#1101#1109
84,1392#1492#469,13800,1084#1101#1109
85,1393#1493#470,14300,1085#1101#1109
86,1394#1494#471,14800,1086#1101#1109
87,1395#1495#472,15300,1087#1101#1109
88,1396#1496#473,15800,1088#1101#1109
89,1397#1497#474,16300,1089#1101#1109
90,1398#1498#475,16800,1090#1101#1102#1103#1110
91,1399#1499#476,17800,1091#1101#1110
92,1400#1500#477,18800,1092#1101#1110
93,1401#1501#478,19800,1093#1101#1110
94,1402#1502#479,20800,1094#1101#1110
95,1403#1503#480,21800,1095#1101#1110
96,1404#1504#481,22800,1096#1101#1110
97,1405#1505#482,23800,1097#1101#1110
98,1406#1506#483,24800,1098#1101#1110
99,1407#1507#484,25800,1099#1101#1110
100,1408#1508#485,26800,1100#1101#1102#1103#1110
