##,,,,,,,,,
公告ID,发送者,标题,内容,奖励,最小等级,最高等级,开始时间,截至时间,保留天数
int,utf8string,utf8string,utf8string,string,int,int,string,string,int
1,系统,版本更新公告,亲爱的玩家，新的版本即将到来。,,10,500,2014/8/19,2014/8/31,5
2,系统,登陆异常补偿,最近较多的玩家出现了登陆异常的玩家，目前问题已在技术人员的努力下得到解决。同时，10级以上的玩家可获得以下补偿。,10001,10,500,2014/8/19,2014/8/31,5
3,嬛嬛,登陆异常补偿,最近较多的玩家出现了登陆异常的玩家，目前问题已在技术人员的努力下得到解决。同时，11级以上的玩家可获得以下补偿。,10002,10,500,2014/8/19,2014/8/31,5
4,嬛嬛,登陆异常补偿,最近较多的玩家出现了登陆异常的玩家，目前问题已在技术人员的努力下得到解决。同时，12级以上的玩家可获得以下补偿。,10003,10,500,2014/8/19,2014/8/31,5
5,系统,停服更新补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将在今天17：00-17：30进行停机维服，维服结束后，所有10级以上的玩家都可获得500元宝的补偿。,20005,10,500,2015/1/12,2015/1/13,5
6,系统,临时维护礼包,亲爱的各位玩家，今天游戏临时出现了一些问题，导致玩家出现不能进入游戏的情况。在技术人员的努力下，现在游戏的问题已经得到了解决。为了补偿大家，所有玩家都可获得500元宝。,20005,5,500,2015/1/13,2015/1/16,5
7,系统,临时维护补偿,亲爱的各位玩家，为了大家能有更好的游戏体验。我们将对服务器进行临时维服，维服结束后，所有10级以上的玩家都可获得500元宝的补偿。,20005,10,500,2015/1/14,2015/1/16,5
8,系统,找BUG，提建议！,封测期间，玩家发现游戏中存在的任何BUG或对游戏有任何建议和意见，都可加入官方Q群向群主反馈。\n参与方式：加入官方Q群（应用宝服：431074799，同步推服：347916307），主动联系群主，反馈BUG和提出建议。\n活动奖励：凡BUG被验证有效的，就可获得一个智多星礼包（内含300元宝）\n         凡有提出的优秀建议，就可获得一个英雄礼包（内含100元宝）\n兑换方式：在游戏中，系统设置——礼包兑换使用激活码即可,,1,500,2015/2/8,2015/2/28,14
9,系统,攻略征集大赛,封测期间，玩家体验游戏后写下攻略（100字以上，最好带截图），加入官方Q群向群主提交即可获得奖励\n参与方式：加入官方Q群（应用宝服：431074799，同步推服：347916307），主动联系群主，提交攻略。\n活动奖励：优秀攻略5名（300元宝）\n         普通攻略不限人数（100元宝）\n兑换方式：在游戏中，系统设置——礼包兑换使用激活码即可,,1,500,2015/2/8,2015/2/28,14
