##,
ºÅÂë¶Î,²úÆ·±àÂë
string,string
130,QG1001010050
131,QG1001010050
132,QG1001010050
155,QG1001010050
156,QG1001010050
176,QG1001010050
185,QG1001010050
186,QG1001010050
134,QG1008610070
135,QG1008610070
136,QG1008610070
137,QG1008610070
138,QG1008610070
139,QG1008610070
150,QG1008610070
151,QG1008610070
152,QG1008610070
157,QG1008610070
158,QG1008610070
159,QG1008610070
182,QG1008610070
183,QG1008610070
187,QG1008610070
188,QG1008610070
147,QG1008610070
133,QG1000010050
153,QG1000010050
181,QG1000010050
180,QG1000010050
189,QG1000010050
177,QG1000010050
