##,,,,,,
关卡ID,名称,关卡类型,战力范围,怪物加成,宝箱ID,怪物组ID
int,utf8string,int,string,string,int,int
1,第一关,1,-201#-180,生命#10000#攻击#10000,1,0
2,第二关,1,-179#-160,生命#10000#攻击#10000,2,0
3,第三关,1,-159#-140,生命#10000#攻击#10000,3,0
4,第四关,1,-139#-120,生命#10000#攻击#10000,4,0
5,第五关,1,-119#-100,生命#10000#攻击#10000,5,0
6,第六关,1,-99#-80,生命#10000#攻击#10000,6,0
7,第七关,1,-79#-60,生命#10000#攻击#10000,7,0
8,第八关,1,-39#-30,生命#10000#攻击#10000,8,0
9,第九关,1,-59#-50,生命#10000#攻击#10000,9,0
10,第十关,1,-14#-10,生命#10000#攻击#10000,10,0
11,第十一关,1,-49#-40,生命#10000#攻击#10000,11,0
12,第十二关,1,-29#-20,生命#10000#攻击#10000,12,0
13,第十三关,1,-9#-5,生命#10000#攻击#10000,13,0
14,第十四关,1,-19#-15,生命#10000#攻击#10000,14,0
15,第十五关,1,-4#0,生命#10000#攻击#10000,15,0
16,第十六关,0,1#3,生命#10000#攻击#10000,16,1539
17,第一关,1,-191#-170,生命#11000#攻击#11000,17,0
18,第二关,1,-169#-150,生命#11000#攻击#11000,18,0
19,第三关,1,-149#-130,生命#11000#攻击#11000,19,0
20,第四关,1,-129#-110,生命#11000#攻击#11000,20,0
21,第五关,1,-109#-90,生命#11000#攻击#11000,21,0
22,第六关,1,-89#-70,生命#11000#攻击#11000,22,0
23,第七关,1,-69#-50,生命#11000#攻击#11000,23,0
24,第八关,1,-29#-20,生命#11000#攻击#11000,24,0
25,第九关,1,-49#-40,生命#11000#攻击#11000,25,0
26,第十关,1,-4#0,生命#11000#攻击#11000,26,0
27,第十一关,1,-39#-30,生命#11000#攻击#11000,27,0
28,第十二关,1,-19#-10,生命#11000#攻击#11000,28,0
29,第十三关,1,1#5,生命#11000#攻击#11000,29,0
30,第十四关,1,-9#-5,生命#11000#攻击#11000,30,0
31,第十五关,1,6#10,生命#11000#攻击#11000,31,0
32,第十六关,0,11#13,生命#11000#攻击#11000,32,1540
33,第一关,1,-181#-160,生命#12000#攻击#12000,33,0
34,第二关,1,-159#-140,生命#12000#攻击#12000,34,0
35,第三关,1,-139#-120,生命#12000#攻击#12000,35,0
36,第四关,1,-119#-100,生命#12000#攻击#12000,36,0
37,第五关,1,-99#-80,生命#12000#攻击#12000,37,0
38,第六关,1,-79#-60,生命#12000#攻击#12000,38,0
39,第七关,1,-59#-40,生命#12000#攻击#12000,39,0
40,第八关,1,-19#-10,生命#12000#攻击#12000,40,0
41,第九关,1,-39#-30,生命#12000#攻击#12000,41,0
42,第十关,1,6#10,生命#12000#攻击#12000,42,0
43,第十一关,1,-29#-20,生命#12000#攻击#12000,43,0
44,第十二关,1,-9#0,生命#12000#攻击#12000,44,0
45,第十三关,1,11#15,生命#12000#攻击#12000,45,0
46,第十四关,1,1#5,生命#12000#攻击#12000,46,0
47,第十五关,1,16#20,生命#12000#攻击#12000,47,0
48,第十六关,0,21#23,生命#12000#攻击#12000,48,1541
49,第一关,1,-171#-150,生命#13000#攻击#13000,49,0
50,第二关,1,-149#-130,生命#13000#攻击#13000,50,0
51,第三关,1,-129#-110,生命#13000#攻击#13000,51,0
52,第四关,1,-109#-90,生命#13000#攻击#13000,52,0
53,第五关,1,-89#-70,生命#13000#攻击#13000,53,0
54,第六关,1,-69#-50,生命#13000#攻击#13000,54,0
55,第七关,1,-49#-30,生命#13000#攻击#13000,55,0
56,第八关,1,-9#0,生命#13000#攻击#13000,56,0
57,第九关,1,-29#-20,生命#13000#攻击#13000,57,0
58,第十关,1,16#20,生命#13000#攻击#13000,58,0
59,第十一关,1,-19#-10,生命#13000#攻击#13000,59,0
60,第十二关,1,1#10,生命#13000#攻击#13000,60,0
61,第十三关,1,21#25,生命#13000#攻击#13000,61,0
62,第十四关,1,11#15,生命#13000#攻击#13000,62,0
63,第十五关,1,26#30,生命#13000#攻击#13000,63,0
64,第十六关,0,31#33,生命#13000#攻击#13000,64,1542
65,第一关,1,-161#-140,生命#14000#攻击#14000,65,0
66,第二关,1,-139#-120,生命#14000#攻击#14000,66,0
67,第三关,1,-119#-100,生命#14000#攻击#14000,67,0
68,第四关,1,-99#-80,生命#14000#攻击#14000,68,0
69,第五关,1,-79#-60,生命#14000#攻击#14000,69,0
70,第六关,1,-59#-40,生命#14000#攻击#14000,70,0
71,第七关,1,-39#-20,生命#14000#攻击#14000,71,0
72,第八关,1,1#10,生命#14000#攻击#14000,72,0
73,第九关,1,-19#-10,生命#14000#攻击#14000,73,0
74,第十关,1,26#30,生命#14000#攻击#14000,74,0
75,第十一关,1,-9#0,生命#14000#攻击#14000,75,0
76,第十二关,1,11#20,生命#14000#攻击#14000,76,0
77,第十三关,1,31#35,生命#14000#攻击#14000,77,0
78,第十四关,1,21#25,生命#14000#攻击#14000,78,0
79,第十五关,1,36#40,生命#14000#攻击#14000,79,0
80,第十六关,0,41#43,生命#14000#攻击#14000,80,1543
81,第一关,1,-151#-130,生命#15000#攻击#15000,81,0
82,第二关,1,-129#-110,生命#15000#攻击#15000,82,0
83,第三关,1,-109#-90,生命#15000#攻击#15000,83,0
84,第四关,1,-89#-70,生命#15000#攻击#15000,84,0
85,第五关,1,-69#-50,生命#15000#攻击#15000,85,0
86,第六关,1,-49#-30,生命#15000#攻击#15000,86,0
87,第七关,1,-29#-10,生命#15000#攻击#15000,87,0
88,第八关,1,11#20,生命#15000#攻击#15000,88,0
89,第九关,1,-9#0,生命#15000#攻击#15000,89,0
90,第十关,1,36#40,生命#15000#攻击#15000,90,0
91,第十一关,1,1#10,生命#15000#攻击#15000,91,0
92,第十二关,1,21#30,生命#15000#攻击#15000,92,0
93,第十三关,1,41#45,生命#15000#攻击#15000,93,0
94,第十四关,1,31#35,生命#15000#攻击#15000,94,0
95,第十五关,1,46#50,生命#15000#攻击#15000,95,0
96,第十六关,0,51#53,生命#15000#攻击#15000,96,1544
97,第一关,1,-141#-120,生命#16000#攻击#16000,97,0
98,第二关,1,-119#-100,生命#16000#攻击#16000,98,0
99,第三关,1,-99#-80,生命#16000#攻击#16000,99,0
100,第四关,1,-79#-60,生命#16000#攻击#16000,100,0
101,第五关,1,-59#-40,生命#16000#攻击#16000,101,0
102,第六关,1,-39#-20,生命#16000#攻击#16000,102,0
103,第七关,1,-19#0,生命#16000#攻击#16000,103,0
104,第八关,1,21#30,生命#16000#攻击#16000,104,0
105,第九关,1,1#10,生命#16000#攻击#16000,105,0
106,第十关,1,46#50,生命#16000#攻击#16000,106,0
107,第十一关,1,11#20,生命#16000#攻击#16000,107,0
