##,,,,
等级,绿色经验,蓝色经验,紫色经验,金色经验
int,int,int,int,int
1,60,96,154,246
2,96,154,246,394
3,154,246,394,630
4,246,394,630,1008
5,394,630,1008,1613
6,630,1008,1613,2581
7,1008,1613,2581,4130
8,1613,2581,4130,6608
9,2581,4130,6608,10573
10,4130,6608,10573,16917
11,6608,10573,16917,27067
12,10573,16917,27067,43307
13,16917,27067,43307,69291
14,27067,43307,69291,110866
15,43307,69291,110866,177386
16,69291,110866,177386,283818
17,110866,177386,283818,454109
18,177386,283818,454109,726574
19,283818,454109,726574,1162518
