##,,
等级,升级经验,等阶限制
int,int,int
1,340,0
2,420,0
3,540,0
4,700,0
5,900,0
6,1140,0
7,1420,0
8,1740,0
9,2100,0
10,2500,0
11,2940,0
12,3420,0
13,3940,0
14,4500,0
15,5100,0
16,5740,0
17,6420,0
18,7140,0
19,7900,0
20,8700,0
21,9540,0
22,10420,0
23,11340,0
24,12300,0
25,13300,0
26,14340,0
27,15420,0
28,16540,0
29,17700,0
30,18900,0
31,20140,0
32,21420,0
33,22740,0
34,24100,0
35,25500,0
36,26940,0
37,28420,0
38,29940,0
39,31500,0
40,33100,0
41,34740,0
42,36420,0
43,38140,0
44,39900,0
45,41700,0
46,43540,0
47,45420,0
48,47340,0
49,49300,0
50,51300,0
51,53340,0
52,55420,0
53,57540,0
54,59700,0
55,61900,0
56,64140,0
57,66420,0
58,68740,0
59,71100,0
60,73500,0
61,75940,0
62,78420,0
63,80940,0
64,83500,0
65,86100,0
66,88740,0
67,91420,0
68,94140,0
69,96900,0
70,99700,0
71,102540,0
72,105420,0
73,108340,0
74,111300,0
75,114300,0
76,117340,0
77,120420,0
78,123540,0
79,126700,0
80,129900,0
81,133140,0
82,136420,0
83,139740,0
84,143100,0
85,146500,0
86,149940,0
87,153420,0
88,156940,0
89,160500,0
90,164100,0
91,167740,0
92,171420,0
93,175140,0
94,178900,0
95,182700,0
96,186540,0
97,190420,0
98,194340,0
99,198300,0
100,202300,0
101,206340,0
102,210420,0
103,214540,0
104,218700,0
105,222900,0
106,227140,0
107,231420,0
108,235740,0
109,240100,0
110,244500,0
111,248940,0
112,253420,0
113,257940,0
114,262500,0
115,267100,0
116,271740,0
117,276420,0
118,281140,0
119,285900,0
120,290700,0
121,295540,0
122,300420,0
123,305340,0
124,310300,0
125,315300,0
126,320340,0
127,325420,0
128,330540,0
129,335700,0
130,340900,0
131,346140,0
132,351420,0
133,356740,0
134,362100,0
135,367500,0
136,372940,0
137,378420,0
138,383940,0
139,389500,0
140,395100,0
141,400740,0
142,406420,0
143,412140,0
144,417900,0
145,423700,0
146,429540,0
147,435420,0
148,441340,0
149,447300,0
150,453300,0
151,459340,0
152,465420,0
153,471540,0
154,477700,0
155,483900,0
156,490140,0
157,496420,0
158,502740,0
159,509100,0
160,515500,0
161,521940,0
162,528420,0
163,534940,0
164,541500,0
165,548100,0
166,554740,0
167,561420,0
168,568140,0
169,574900,0
170,581700,0
171,588540,0
172,595420,0
173,602340,0
174,609300,0
175,616300,0
176,623340,0
177,630420,0
178,637540,0
179,644700,0
180,651900,0
181,659140,0
182,666420,0
183,673740,0
184,681100,0
185,688500,0
186,695940,0
187,703420,0
188,710940,0
189,718500,0
190,726100,0
191,733740,0
192,741420,0
193,749140,0
194,756900,0
195,764700,0
196,772540,0
197,780420,0
198,788340,0
199,796300,0
200,804300,0
201,812340,0
202,820420,0
203,828540,0
204,836700,0
205,844900,0
206,853140,0
207,861420,0
208,869740,0
209,878100,0
210,886500,0
211,894940,0
212,903420,0
213,911940,0
214,920500,0
215,929100,0
216,937740,0
217,946420,0
218,955140,0
219,963900,0
220,972700,0
221,981540,0
222,990420,0
223,999340,0
224,1008300,0
225,1017300,0
226,1026340,0
227,1035420,0
228,1044540,0
229,1053700,0
230,1062900,0
231,1072140,0
232,1081420,0
233,1090740,0
234,1100100,0
235,1109500,0
236,1118940,0
237,1128420,0
238,1137940,0
239,1147500,0
240,1157100,0
241,1166740,0
242,1176420,0
243,1186140,0
244,1195900,0
245,1205700,0
246,1215540,0
247,1225420,0
248,1235340,0
249,1245300,0
250,1255300,0
251,1265340,0
252,1275420,0
253,1285540,0
254,1295700,0
255,1305900,0
256,1316140,0
257,1326420,0
258,1336740,0
259,1347100,0
260,1357500,0
261,1367940,0
262,1378420,0
263,1388940,0
264,1399500,0
265,1410100,0
266,1420740,0
267,1431420,0
268,1442140,0
269,1452900,0
270,1463700,0
271,1474540,0
272,1485420,0
273,1496340,0
274,1507300,0
275,1518300,0
276,1529340,0
277,1540420,0
278,1551540,0
279,1562700,0
280,1573900,0
281,1585140,0
282,1596420,0
283,1607740,0
284,1619100,0
285,1630500,0
286,1641940,0
287,1653420,0
288,1664940,0
289,1676500,0
290,1688100,0
291,1699740,0
292,1711420,0
293,1723140,0
294,1734900,0
295,1746700,0
296,1758540,0
297,1770420,0
298,1782340,0
299,1794300,0
300,1806300,0
301,1818340,0
302,1830420,0
303,1842540,0
304,1854700,0
305,1866900,0
306,1879140,0
307,1891420,0
308,1903740,0
309,1916100,0
310,1928500,0
311,1940940,0
312,1953420,0
313,1965940,0
314,1978500,0
315,1991100,0
316,2003740,0
317,2016420,0
318,2029140,0
319,2041900,0
320,2054700,0
321,2067540,0
322,2080420,0
323,2093340,0
324,2106300,0
325,2119300,0
326,2132340,0
327,2145420,0
