##,,,,
等阶,消耗材料数,成长系数,属性系数,升阶消耗
int,int,int,int,int
0,3,100,10000,30000
1,6,130,20000,60000
2,9,160,30000,90000
3,12,190,40000,120000
4,15,220,50000,150000
5,18,250,60000,180000
6,30,280,70000,300000
7,36,310,80000,360000
8,42,350,90000,420000
9,48,390,100000,480000
10,54,430,110000,540000
11,60,470,120000,600000
12,120,510,130000,1200000
13,144,560,140000,1440000
14,168,610,150000,1680000
15,192,660,160000,1920000
16,216,710,170000,2160000
17,240,760,180000,2400000
18,264,810,190000,2640000
19,480,860,200000,4800000
20,,1000,210000,
