##,,,,,,,
引导ID,前置引导,是否强制引导,等级下限,等级上限,触发事件,自动完成,是否重复触发
int,int,int,int,int,string,int,int
1,0,,,,完成引导#3,,
2,0,,1,2,新角色首次进入,,
3,0,,,,完成引导#2,,
4,0,,,,达到等级#3,,
5,0,,,,达到等级#4,,
6,0,,,,完成引导#13,,
7,0,,,,达到等级#8,,
8,0,,,,开启功能#4,,
9,0,,,,开启功能#13,,
10,0,,,,达到等级#7,,
11,0,,,,开启功能#12,,
12,0,,,,达到等级#5,,
13,0,,,,完成引导#12,,
14,0,,,,达到等级#10,,
15,0,,1,6,首次完美通关章节#10001,,
16,0,,,,达到等级#20,,
17,0,,,,完成引导#16,,
18,0,,1,10,完成引导#10,,
19,0,,1,10,完成引导#8,,
20,0,,1,10,完成引导#19,,
21,0,,,,达到等级#40,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,`,
