##英雄基础配置,,,,,,,,"0男性,1女性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,名称,魂魄描述,召唤所需铜币,英雄魂魄物品ID,召唤所需魂魄,初始星级,初始品质,性别,生命,攻击,防御,命中,闪避,暴击,韧性,抵挡,破击,护甲,破甲,初始怒气,生命成长,攻击成长,防御成长,英雄描述,英雄头像,英雄形像1,英雄形像2,英雄职业,技能列表,天赋技能列表,动画名,动画缩放,英雄类型,初始技能,攻击能力,防御能力,生命能力,英雄定位,英雄特点
int,utf8string,utf8string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,utf8string,int,int,int,string,string,string,utf8string,int,int,int,int,int,int,string,string
1001,项羽,项羽进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13001,80,2,1,0,137,44,18,100,10,10,50,0,50,10,100,50,3430,1100,450,楚国名将项燕之孙，项羽力能扛鼎，武艺超群，气压万夫，在巨鹿之战中以少胜多，摧毁章邯的秦军主力。,1001,1001,0,,1#6#201,100101#100102#100103#100104,xiangyu,10000,1,6,82,84,73,输出,高攻连杀
1002,吕布,吕布进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13002,30,1,1,0,136,48,16,100,10,10,50,0,50,10,100,50,3400,1200,400,字奉先，东汉末年名将，汉末群雄之一。吕布是三国时期第一猛将，号称“人中吕布”。,1002,1002,0,,1#7#202,100201#100202#100203#100204,lvbu,10000,1,7,64,75,65,输出,攻击竖排
1003,孙武,孙武进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13003,30,1,1,0,130,42,18,100,10,10,50,0,50,10,100,50,3250,1050,450,后人尊称其为孙子、兵圣、东方兵学的鼻祖。领兵打仗，战无不胜，北威齐晋，南服越人，显名诸侯。,1003,1003,0,,2#8#203,100301#100302#100303#100304,sunwu,10000,1,8,54,79,69,输出,群体攻击
1004,岳飞,岳飞进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13004,10,0,1,0,164,35,22,100,10,10,50,200,0,10,0,50,4100,880,550,字鹏举，中国历史上著名的军事家、战略家。率领岳家军同金军进行了大小数百次战斗，所向披靡。,1004,1004,0,,1#9#204,100401#100402#100403#100404,yuefei,10000,1,9,54,84,73,肉盾,高免伤
1005,关羽,关羽进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13005,30,1,1,0,134,44,18,100,10,10,50,0,50,10,100,50,3350,1100,450,字云长，河东解良人，三国时蜀汉名将，曾被曹操生擒，于白马坡斩杀袁绍大将颜良，被称为万人敌。,1005,1005,0,,1#10#205,100501#100502#100503#100504,guanyu,10000,1,10,60,75,65,输出,攻击横排
1006,赵云,赵云进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13006,10,0,1,0,136,48,17,100,10,10,50,0,50,10,100,50,3400,1200,430,字子龙，三国时期蜀汉名将。赵云原属幽州军阀公孙瓒，后来追随并辅佐刘备建立蜀汉，成就一代霸业。,1006,1006,0,,1#11#206,100601#100602#100603#100604,zhaoyun,10000,1,11,60,75,65,输出,变身高暴
1007,程咬金,白起进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13007,30,1,1,0,130,42,17,100,10,10,50,0,50,10,100,50,3250,1050,430,程咬金，原名咬金，后更名知节，字义贞，济州东阿人。唐朝开国大将，凌烟阁二十四功臣之一。,1007,1007,0,,1#12#207,100701#100702#100703#100704,baiqi,10000,1,12,57,79,69,输出,攻击吸血
1008,花木兰,花木兰进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13008,10,0,1,1,131,42,18,100,10,10,50,0,50,10,100,50,3280,1050,450,中国古代民族女英雄，以替父从军击败北方入侵民族闻名天下，后被追封为“孝烈将军”，设祠纪念。,1008,1008,0,,1#13#208,100801#100802#100803#100804,huamulan,10000,1,13,57,68,62,输出,稳定眩晕
1009,诸葛亮,诸葛亮进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13009,80,2,1,0,126,50,15,0,10,150,0,0,0,10,0,50,3150,1250,380,字孔明，徐州琅琊阳都人，中国三国时期蜀汉丞相，中国历史上著名的政治家、军事家、散文家、发明家。,1009,1009,0,,111#14#209,100901#100902#100903#100904,zhugeliang,10000,2,14,100,68,58,输出,群体眩晕
1010,司马懿,司马懿进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13010,80,2,1,0,123,50,13,0,10,150,0,0,0,10,0,50,3080,1250,330,字仲达，出身士族家庭，三国时期魏国大臣，政治家、军事家，西晋王朝的奠基人。,1010,1010,0,,114#15#210,101001#101002#101003#101004,simayi,10000,2,15,80,59,53,输出,竖排降怒
1011,商鞅,商鞅进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13011,10,0,1,0,119,45,14,0,10,150,0,0,0,10,0,50,2980,1130,350,战国时代政治家、改革家、思想家，法家代表人物，卫国人。因获封商于十五邑，号为商君，故称之为商鞅。,1011,1011,0,,110#16#211,101101#101102#101103#101104,shangyang,10000,2,16,75,63,56,输出,攻击横排
1012,张良,张良进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13012,30,1,1,0,121,45,13,0,10,150,0,0,0,10,0,50,3030,1130,330,字子房，封为留侯，谥号文成，颍川城父人。张良是汉朝的开国元勋之一，与萧何、韩信同为汉初三杰。,1012,1012,0,,109#17#212,101201#101202#101203#101204,zhangliang,10000,2,17,75,59,53,输出,多次攻击
1013,狄仁杰,狄仁杰进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13013,10,0,1,0,123,50,13,0,10,150,0,0,0,10,0,50,3080,1250,330,字怀英，号德英，为唐朝武周时的著名宰相，刚正廉明，执法不阿，以身护法。,1013,1013,0,,108#18#213,101301#101302#101303#101304,direnjie,10000,2,18,84,59,53,输出,随机攻击
1014,杨贵妃,上官婉儿进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13014,10,0,1,1,123,48,13,0,10,200,0,0,250,10,0,50,3080,1200,330,号太真，姿质丰艳，善歌舞，通音律，为唐代宫廷音乐家、舞蹈家，被后世誉为中国古代四大美女之一。,1014,1014,0,,5#19#214,101401#101402#101403#101404,shangguanwaner,10000,3,19,80,59,53,输出,攻击后排
1015,荆轲,荆轲进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13015,30,1,1,0,129,48,14,0,10,200,0,0,250,10,0,50,2950,1200,350,战国末期卫国人，战国时期著名刺客，也称庆卿、荆卿、庆轲。受燕太子丹之托入刺秦王，行刺失败被杀。,1015,1015,0,,3#20#215,101501#101502#101503#101504,jingke,10000,3,20,80,63,53,输出,多次攻击
1016,西施,西施进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13016,30,1,1,1,129,48,14,0,10,200,0,0,250,10,0,50,2630,1200,300,中国古代四大美人之一，又称西子，天生丽质。西施忍辱负重，以身救国，乱吴宫，以霸越。,1016,1016,0,,106#21#216,101601#101602#101603#101604,xishi,10000,3,21,80,59,47,输出,高暴发
1017,貂蝉,貂蝉进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13017,80,2,1,1,125,46,14,0,10,200,0,0,250,10,0,50,3130,1150,350,中国古代四大美女之一，为了报答义父王允的养育之恩而甘愿献身完成连环计成功刺杀董卓。,1017,1017,0,,3#22#217,101701#101702#101703#101704,diaocan,10000,3,22,77,68,56,输出,攻击后排
1018,甄缳,甄缳进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13018,10,0,1,1,125,46,14,0,10,200,0,0,250,10,0,50,3130,1150,350,孝圣宪皇后，钮祜禄氏，雍正八年，晋熹贵妃，摄六宫事。乾隆皇帝即位后，尊为圣母皇太后。,1018,1018,0,,105#23#218,101801#101802#101803#101804,zhenhuan,10000,3,23,72,68,56,输出,攻击后排
1019,小乔,小乔进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13019,10,0,1,1,118,47,14,0,10,200,0,0,250,10,0,50,2950,1180,350,庐江皖县人，小乔国色流离，资貌绝伦。建安三年，周瑜娶小乔为妻，后人谓英雄美女，天作之合。,1019,1019,0,,3#24#219,101901#101902#101903#101904,xiaoqiao,10000,3,24,77,63,53,输出,无视防御
1020,西门庆,西门庆进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13020,80,2,1,0,131,48,19,0,10,200,0,0,250,10,0,50,3280,1200,480,西门庆，号四泉，他是一个地痞、恶霸、官僚、淫棍、商人。虽然他很坏，但似乎很讨女人欢心。,1020,1020,0,,2#25#220,102001#102002#102003#102004,ximenqing,10000,3,25,97,90,58,输出,克制女性
1021,张三丰,张三丰进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13021,30,1,1,0,150,40,19,0,150,10,150,0,0,10,0,50,3750,850,480,武当派开山祖师。名全一，又名君宝，字君实，号玄子，以其不修边幅又号邋遢，元末明初著名道人。,1021,1021,0,,107#26#221,102101#102102#102103#102104,zhangsf,10000,4,26,59,90,67,肉盾,高闪避
1022,吕洞宾,吕洞宾进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13022,30,1,1,0,143,49,19,0,150,10,150,0,0,10,0,50,3580,1230,480,原名吕喦，字洞宾，道号纯阳子，是著名的道教仙人，八仙之一，道教全真派北五祖之一。,1022,1022,0,,2#27#222,102201#102202#102203#102204,lvdongbin,10000,4,27,65,75,63,输出,多次攻击
1023,李白,李白进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13023,10,0,1,0,149,32,15,0,150,10,150,0,0,10,0,50,3730,800,380,字太白，号青莲居士。唐朝诗人，有“诗仙”、“诗侠”、“酒仙”、“谪仙人”等称呼。,1023,1023,0,,2#28#223,102301#102302#102303#102304,libai,10000,4,28,55,75,62,输出,机率暴发
1024,唐伯虎,唐伯虎进阶的必须材料，也可通过转换功能将其转换成其他英雄的武魂,10000,13024,30,1,1,0,180,34,21,0,150,10,150,0,0,10,0,50,4500,850,530,字伯虎，号六如居士、桃花庵主、逃禅仙吏等，南直隶苏州吴县人，吴中四才子之一。,1024,1024,0,,115#29#224,102401#102402#102403#102404,tangbohu,10000,4,29,59,75,66,输出,吸取怒气
