##天赋技能,,,,,,,,,,,,,,
ID,名称,描述,等级,品质,升级材料,升级铜币,升级等阶,主公等级要求,技能效果,当前效果描述,下级效果描述,图标,前端ID,技能升级效果
int,utf8string,string,int,int,string,int,int,int,string,string,string,int,int,string
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,0,4,,0,1,1,,未激活,伤害+14 攻击加成+10.2%,1076,100101000,伤害+0#攻击加成+10%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,1,4,,400,1,2,100001,伤害+14 攻击加成+10.2%,伤害+28 攻击加成+10.4%,1076,100101001,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,2,4,,800,1,3,100002,伤害+28 攻击加成+10.4%,伤害+42 攻击加成+10.6%,1076,100101002,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,3,4,,1200,1,4,100003,伤害+42 攻击加成+10.6%,伤害+57 攻击加成+10.8%,1076,100101003,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,4,4,,1600,1,5,100004,伤害+57 攻击加成+10.8%,伤害+71 攻击加成+11%,1076,100101004,伤害+15#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,5,4,,2000,1,6,100005,伤害+71 攻击加成+11%,伤害+85 攻击加成+11.2%,1076,100101005,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,6,4,,2400,1,7,100006,伤害+85 攻击加成+11.2%,伤害+99 攻击加成+11.4%,1076,100101006,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,7,4,,2800,1,8,100007,伤害+99 攻击加成+11.4%,伤害+113 攻击加成+11.6%,1076,100101007,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,8,4,,3200,1,9,100008,伤害+113 攻击加成+11.6%,伤害+127 攻击加成+11.8%,1076,100101008,伤害+14#攻击加成+0.2%
100101,霸气无双,对单体目标造成大量伤害，提升自己的攻击与暴击三回合。击杀目标后会继续攻击下一个目标,9,4,,3600,1,10,100009,伤害+127 攻击加成+11.8%,伤害+142 攻击加成+12%,1076,100101009,伤害+14#攻击加成+0.2%
