##,,,
材料ID,材料数量,产出ID,消耗铜币
int,int,int,int
20001,10,30001,
20002,10,30002,
20003,10,30003,
20004,10,30004,
20005,10,30005,
20006,10,30006,
20007,10,30007,
20008,20,30008,
20009,20,30009,
20010,30,30010,
20011,20,30011,
20012,30,30012,
20013,30,30013,
20014,40,30014,
20015,40,30015,
20016,50,30016,
20017,20,30017,
20018,30,30018,
20019,30,30019,
20020,40,30020,
20021,40,30021,
20022,50,30022,
21001,10,31001,
21002,10,31002,
21003,10,31003,
21004,10,31004,
21005,10,31005,
21006,10,31006,
21007,10,31007,
21008,20,31008,
21009,20,31009,
21010,30,31010,
21011,20,31011,
21012,30,31012,
21013,30,31013,
21014,40,31014,
21015,40,31015,
21016,50,31016,
21017,20,31017,
21018,30,31018,
21019,30,31019,
21020,40,31020,
21021,40,31021,
21022,50,31022,
22001,10,32001,
22002,10,32002,
22003,10,32003,
22004,10,32004,
22005,10,32005,
22006,10,32006,
22007,10,32007,
22008,20,32008,
22009,20,32009,
22010,30,32010,
22011,20,32011,
22012,30,32012,
22013,30,32013,
22014,40,32014,
22015,40,32015,
22016,50,32016,
22017,20,32017,
22018,30,32018,
22019,30,32019,
22020,40,32020,
22021,40,32021,
22022,50,32022,
23001,10,33001,
23002,10,33002,
23003,10,33003,
23004,10,33004,
23005,10,33005,
23006,10,33006,
23007,10,33007,
23008,20,33008,
23009,20,33009,
23010,30,33010,
23011,20,33011,
23012,30,33012,
23013,30,33013,
23014,40,33014,
23015,40,33015,
23016,50,33016,
23017,20,33017,
23018,30,33018,
23019,30,33019,
23020,40,33020,
23021,40,33021,
23022,50,33022,
