##,,,,,,,,
套装ID,套装名称,套装列表,2件属性,2件属性描述,3件属性,3件属性描述,4件属性,4件属性描述
int,utf8string,string,string,utf8string,string,utf8string,string,utf8string
1,天极之力,30011#31011#32011#33011,攻击加值#870#命中附加值#100,攻击+870   命中+100,暴击加值#100#破击加值#100,暴击+100   破击+100,破甲加值#100,对敌方所有伤害加深+10%
2,朱雀之翼,30012#31012#32012#33012,攻击加值#1260#命中附加值#120,攻击+1260  命中+120,暴击加值#120#破击加值#120,暴击+120   破击+120,破甲加值#120,对敌方所有伤害加深+12%
3,四神之曲,30013#31013#32013#33013,攻击加值#1620#命中附加值#140,攻击+1620  命中+140,暴击加值#140#破击加值#140,暴击+140   破击+140,破甲加值#140,对敌方所有伤害加深+14%
4,轮回之幻,30014#31014#32014#33014,攻击加值#1980#命中附加值#160,攻击+1980  命中+160,暴击加值#160#破击加值#160,暴击+160   破击+160,破甲加值#160,对敌方所有伤害加深+16%
5,天怒之魂,30015#31015#32015#33015,攻击加值#2400#命中附加值#180,攻击+2400  命中+180,暴击加值#180#破击加值#180,暴击+180   破击+180,破甲加值#180,对敌方所有伤害加深+18%
6,无双之影,30016#31016#32016#33016,攻击加值#3000#命中附加值#200,攻击+3000  命中+200,暴击加值#200#破击加值#200,暴击+200   破击+200,破甲加值#200,对敌方所有伤害加深+20%
7,九天之上,30017#31017#32017#33017,生命上限加值#2900#闪避附加值#100,生命+2900   闪避+100,韧性加值#100#抵挡加值#100,韧性+100   抵挡+100,护甲加值#100,所有伤害减免+10%
8,玄武之御,30018#31018#32018#33018,生命上限加值#4200#闪避附加值#120,生命+4200   闪避+120,韧性加值#120#抵挡加值#120,韧性+120   抵挡+120,护甲加值#120,所有伤害减免+12%
9,苍穹之语,30019#31019#32019#33019,生命上限加值#5400#闪避附加值#140,生命+5400   闪避+140,韧性加值#140#抵挡加值#140,韧性+140   抵挡+140,护甲加值#140,所有伤害减免+14%
10,阴阳之虚,30020#31020#32020#33020,生命上限加值#6600#闪避附加值#160,生命+6600   闪避+160,韧性加值#160#抵挡加值#160,韧性+160   抵挡+160,护甲加值#160,所有伤害减免+16%
11,神罚之魄,30021#31021#32021#33021,生命上限加值#8000#闪避附加值#180,生命+8000   闪避+180,韧性加值#180#抵挡加值#180,韧性+180   抵挡+180,护甲加值#180,所有伤害减免+18%
12,无上之光,30022#31022#32022#33022,生命上限加值#10000#闪避附加值#200,生命+10000  闪避+200,韧性加值#200#抵挡加值#200,韧性+200   抵挡+200,护甲加值#200,所有伤害减免+20%
