##,,,,,,,,,,
喜好品ID,消耗材料1,消耗材料1数量,消耗材料2,消耗材料2数量,消耗材料3,消耗材料3数量,消耗材料4,消耗材料4数量,材料种类,消耗铜币
int,int,int,int,int,int,int,int,int,int,int
4014,4001,1,4017,1,4013,1,,,3,3000
4015,4010,1,4010,1,4007,1,,,3,3000
4016,4010,1,4031,1,,,,,2,3000
4017,4124,5,,,,,,,1,3000
4018,4199,5,,,,,,,1,3000
4019,4200,5,,,,,,,1,3000
4020,4018,1,4018,1,4003,5,,,3,3000
4022,4026,1,4021,1,,,,,2,3000
4023,4004,1,4030,1,,,,,2,3000
4024,4023,1,4023,1,,,,,2,3000
4025,4005,1,4009,1,4012,1,,,3,3000
4026,4006,3,4025,1,,,,,2,3000
4027,4005,1,4006,2,4023,1,,,3,3000
4028,4009,2,4013,1,,,,,2,3000
4029,4010,1,4011,1,4028,1,,,3,3000
4032,4125,5,,,,,,,1,3000
4033,4009,1,4009,1,4032,1,,,3,3000
4034,4201,10,,,,,,,1,3000
4035,4033,1,4025,1,4011,1,,,3,3000
4036,4034,1,4033,1,,,,,2,3000
4037,4126,10,,,,,,,1,3000
4038,4145,1,4014,1,4034,1,,,3,5000
4039,4146,1,4014,1,4018,1,,,3,5000
4040,4147,1,4014,1,4024,1,,,3,5000
4041,4148,1,4014,1,4034,1,,,3,5000
4042,4149,1,4014,1,4053,1,,,3,5000
4043,4127,20,,,,,,,1,5000
4044,4043,1,4016,1,4010,1,,,3,5000
4045,4202,1,4043,1,4015,1,,,3,5000
4046,4203,1,4043,1,4035,1,,,3,5000
4047,4204,1,4043,1,4026,1,,,3,5000
4048,4018,2,4030,2,4019,1,,,3,5000
4049,4048,1,4024,1,4002,5,,,3,5000
4050,4150,1,4048,1,4019,1,4006,10,4,5000
4051,4151,1,4048,1,4020,1,4003,5,4,5000
4052,4152,1,4070,1,4049,1,4019,2,4,5000
4053,4022,1,4021,1,4011,1,,,3,3000
4054,4053,1,4031,1,4008,1,,,3,3000
4055,4054,1,4033,1,4022,1,,,3,5000
4056,4205,1,4054,1,4031,1,,,3,5000
4057,4024,1,4015,1,4004,1,,,3,3000
4058,4206,1,4024,1,4030,1,,,3,3000
4059,4207,1,4024,1,4018,1,,,3,5000
4060,4033,1,4029,1,4008,5,,,3,5000
4061,4210,1,4033,1,4031,1,,,3,5000
4062,4128,20,,,,,,,1,5000
4063,4129,20,,,,,,,1,5000
4064,4130,20,,,,,,,1,5000
4065,4212,1,4037,1,4013,5,,,3,5000
4066,4213,1,4062,1,4026,1,4006,20,4,5000
4067,4214,1,4064,1,4027,1,4006,20,4,5000
4068,4131,20,,,,,,,1,5000
4069,4132,20,,,,,,,1,5000
4070,4133,25,,,,,,,1,5000
4071,4153,1,4038,1,4043,1,4019,10,4,10000
4072,4154,1,4039,1,4065,1,4018,10,4,10000
4073,4155,1,4040,1,4046,1,4018,10,4,10000
4074,4156,1,4041,1,4047,1,4025,10,4,10000
4075,4157,1,4042,1,4044,1,4018,10,4,10000
4076,4134,50,,,,,,,1,10000
4077,4135,50,,,,,,,1,10000
4078,4136,50,,,,,,,1,10000
4079,4137,60,,,,,,,1,10000
4080,4208,1,4121,1,4061,1,4043,1,4,10000
4081,4158,1,4098,1,4050,1,4048,1,4,10000
4082,4159,1,4099,1,4098,1,4051,1,4,10000
4083,4160,1,4113,1,4122,1,4052,1,4,10000
4084,4161,1,4062,1,4053,1,4007,5,4,5000
4085,4162,1,4062,1,4053,1,4012,5,4,5000
4086,4163,1,4065,1,4062,1,4022,1,4,5000
4087,4215,1,4058,1,4030,1,4004,5,4,5000
4088,4164,1,4048,1,4024,1,,,3,5000
4089,4165,1,4068,1,4057,1,4019,1,4,5000
4090,4166,1,4065,1,4037,1,4012,10,4,5000
4091,4167,1,4064,1,4054,1,4013,10,4,5000
4092,4168,1,4063,1,4036,1,4011,10,4,5000
4093,4169,1,4065,1,4053,1,4029,1,4,5000
4094,4170,1,4065,1,4034,2,4009,10,4,5000
4095,4070,1,4062,1,4033,1,4011,20,4,5000
4096,4138,60,,,,,,,1,10000
4097,4171,1,4095,1,4063,1,4064,1,4,10000
4098,4139,60,,,,,,,1,10000
4099,4140,60,,,,,,,1,10000
4100,4141,60,,,,,,,1,10000
4101,4071,1,4121,1,4090,1,4038,1,4,10000
4102,4072,1,4122,1,4091,1,4039,1,4,10000
4103,4073,1,4123,1,4092,1,4040,1,4,10000
4104,4074,1,4122,1,4093,1,4041,1,4,10000
4105,4075,1,4098,1,4094,1,4042,1,4,10000
4106,4078,1,4077,1,4045,1,,,3,10000
4107,4104,1,4078,1,4076,1,4047,1,4,10000
4108,4106,1,4119,1,4099,1,4077,1,4,10000
4109,4216,1,4100,1,4085,1,4055,1,4,10000
4110,4097,1,4100,1,4056,1,4065,1,4,10000
4111,4109,1,4123,1,4122,1,4085,1,4,10000
4112,4217,1,4068,1,4045,1,4059,1,4,10000
4113,4112,1,4098,1,4069,1,4064,1,4,10000
4114,4097,1,4112,1,4098,1,4069,1,4,10000
4115,4097,1,4123,1,4122,1,4063,1,4,10000
4116,4096,1,4100,1,4064,1,4062,1,4,10000
4117,4096,1,4100,1,4099,1,4062,1,4,10000
4118,4110,1,4109,1,4122,1,4063,1,4,10000
4119,4097,1,4122,1,4100,1,4065,1,4,10000
4120,4119,1,4117,1,4096,1,4097,1,4,10000
4121,4142,60,,,,,,,1,10000
4122,4143,60,,,,,,,1,10000
4123,4144,60,,,,,,,1,10000
4145,4172,10,,,,,,,1,5000
