##,
µÈ¼¶,MAXHP
int,int
1,10000000
2,10170000
3,10330000
4,10540000
5,10810000
6,11130000
7,11500000
8,11930000
9,12410000
10,12950000
11,13530000
12,14180000
13,14870000
14,15620000
15,16420000
16,17280000
17,18190000
18,19150000
19,20160000
20,21230000
21,22360000
22,23530000
23,24760000
24,26040000
25,27380000
26,28770000
27,30210000
28,31710000
29,33260000
30,34870000
31,36520000
32,38230000
33,40000000
34,41820000
35,43690000
36,45610000
37,47590000
38,49620000
39,51710000
40,53850000
41,56040000
42,58280000
43,60580000
44,62940000
45,65340000
46,67800000
47,70310000
48,72880000
49,75500000
50,78170000
51,80900000
52,83680000
53,86510000
54,89400000
55,92340000
56,95340000
57,98380000
58,101480000
59,104640000
60,107850000
61,111110000
62,114420000
63,117790000
64,121210000
65,124690000
66,128220000
67,131800000
68,135430000
69,139120000
70,142870000
71,146660000
72,150510000
73,154410000
74,158370000
75,162380000
76,166440000
77,170560000
78,174730000
79,178960000
80,183230000
81,187560000
82,191950000
83,196390000
84,200880000
85,205420000
86,210020000
87,214670000
88,219380000
89,224130000
90,228950000
91,233810000
92,238730000
93,243700000
94,248730000
95,253810000
96,258940000
97,264130000
98,269370000
99,274660000
100,280000000
