####,,,,,,,,,
ID,ÁìµØ¿óID,ÀàÐÍ,Ãû³Æ,µÈ¼¶,²úÁ¿,Éý¼¶ÏûºÄ,Éý¼¶Ê±¼ä,×î´ó´¢Á¿,×ÊÔ´Ãû
int,int,string,utf8string,int,int,int,int,int,string
10,1,Í­¿ó,Í­¿ó,0,0,600,1,5000,0
11,1,Í­¿ó,Í­¿ó,1,900,1200,10,10800,0
12,1,Í­¿ó,Í­¿ó,2,1500,1800,60,18000,0
13,1,Í­¿ó,Í­¿ó,3,2100,2400,90,25200,0
14,1,Í­¿ó,Í­¿ó,4,2700,3600,120,32400,0
15,1,Í­¿ó,Í­¿ó,5,3300,4800,720,39600,0
16,1,Í­¿ó,Í­¿ó,6,3900,6000,840,46800,0
17,1,Í­¿ó,Í­¿ó,7,4500,7200,960,54000,0
18,1,Í­¿ó,Í­¿ó,8,5100,8400,1080,61200,0
19,1,Í­¿ó,Í­¿ó,9,5700,12000,1200,68400,0
110,1,Í­¿ó,Í­¿ó,10,6300,13200,3300,75600,1
111,1,Í­¿ó,Í­¿ó,11,6900,14400,3600,82800,1
112,1,Í­¿ó,Í­¿ó,12,7500,15600,3900,90000,1
113,1,Í­¿ó,Í­¿ó,13,8100,16800,4200,97200,1
114,1,Í­¿ó,Í­¿ó,14,8700,18000,4500,104400,1
115,1,Í­¿ó,Í­¿ó,15,9300,19200,4800,111600,1
116,1,Í­¿ó,Í­¿ó,16,9900,20400,5100,118800,1
117,1,Í­¿ó,Í­¿ó,17,10500,21600,5400,126000,1
118,1,Í­¿ó,Í­¿ó,18,11100,22800,5700,133200,1
119,1,Í­¿ó,Í­¿ó,19,11700,24000,6000,140400,1
120,1,Í­¿ó,Í­¿ó,20,12300,25200,6300,147600,2
121,1,Í­¿ó,Í­¿ó,21,12900,26400,9900,154800,2
122,1,Í­¿ó,Í­¿ó,22,13500,27600,10350,162000,2
123,1,Í­¿ó,Í­¿ó,23,14100,28800,10800,169200,2
124,1,Í­¿ó,Í­¿ó,24,14700,30000,11250,176400,2
125,1,Í­¿ó,Í­¿ó,25,15300,31200,11700,183600,2
126,1,Í­¿ó,Í­¿ó,26,15900,32400,16200,190800,2
127,1,Í­¿ó,Í­¿ó,27,16500,33600,16800,198000,2
128,1,Í­¿ó,Í­¿ó,28,17100,34800,17400,205200,2
129,1,Í­¿ó,Í­¿ó,29,17700,36000,18000,212400,2
130,1,Í­¿ó,Í­¿ó,30,18300,37200,18600,219600,3
131,1,Í­¿ó,Í­¿ó,31,18900,38400,28800,226800,3
132,1,Í­¿ó,Í­¿ó,32,19500,39600,29700,234000,3
133,1,Í­¿ó,Í­¿ó,33,20100,40800,30600,241200,3
134,1,Í­¿ó,Í­¿ó,34,20700,42000,31500,248400,3
135,1,Í­¿ó,Í­¿ó,35,21300,43200,32400,255600,3
136,1,Í­¿ó,Í­¿ó,36,21900,44400,44400,262800,3
