##ID,,,,0黑；1绿；2蓝；3紫；4黄,备注，程序不读,,,,0：静态等级；1：动态等级,,,,,,,,,,,,,,,,
怪物ID,名称,显示名,性别,怪物等阶,怪物类型,头像资源ID,资源,等级,是否动态等级,主动技能,普攻技能,天赋技能,放大比例,生命,攻击,命中,闪避,暴击,韧性,抵挡,破击,护甲,破甲,初始怒气,类型
int,string,utf8string,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
6001,,大清悍匪,0,0,1,6007,mibaoshanzei,1,,124,3,,10000,54,37,0,0,0,0,0,0,0,0,50,0
6002,,大清悍匪,0,0,1,6004,cike,1,,121,3,,10000,59,41,0,0,0,0,0,10,0,0,50,0
6003,,大清杂兵,0,0,1,6007,mibaoshanzei,2,,124,3,,10000,64,44,0,0,0,0,0,10,0,0,50,0
6004,,大清猛将,0,0,1,6010,wujiang,2,,128,127,,10000,102,37,0,0,0,0,0,10,0,0,50,0
6005,,大清猛将,0,0,1,6005,youxia,3,,122,2,,10000,114,39,0,0,0,0,0,10,0,0,50,0
6006,,大清猛将,0,0,1,6001,changqiangbing,3,,119,1,,10000,114,42,0,0,0,0,0,10,0,0,50,0
6007,,大清猛将,0,0,1,6005,youxia,3,,122,2,,10000,128,44,0,0,0,0,0,0,0,0,50,0
6008,,大清猛将,0,0,1,6011,mibaoshanzeitoumu,3,,147,146,,10000,128,62,0,0,0,0,0,0,0,0,50,0
6009,,御前侍卫,0,0,1,6005,youxia,4,,122,2,,10000,144,50,0,0,0,0,0,0,0,0,50,0
6010,,御前侍卫,0,0,1,6008,wufu,4,,125,2,,10000,144,50,0,0,0,0,0,0,0,0,50,0
6011,,御前侍卫,0,0,1,6004,cike,5,,121,3,,10000,114,50,0,0,0,0,0,0,0,0,50,0
6012,,御前侍卫,0,0,1,6011,mibaoshanzeitoumu,5,,147,146,,10000,163,50,0,0,0,0,0,0,0,0,50,0
6013,,御前侍卫,0,0,2,6002,daodunbing,6,,120,2,,10000,231,47,0,10,10,0,100,0,0,0,50,0
6014,,御前侍卫,0,0,1,6003,gongjianshou,6,,116,4,,10000,129,51,0,10,0,0,0,0,0,0,50,0
6015,,唐家家仆,0,1,1,6008,wufu,7,,125,2,,10000,178,59,0,100,10,0,0,0,0,0,50,0
6016,,唐家家仆,0,1,1,6011,mibaoshanzeitoumu,7,,147,146,,10000,178,83,0,10,100,0,0,0,0,0,50,0
6017,,唐家家仆,0,1,1,6008,wufu,7,,125,2,,10000,196,63,0,100,10,0,0,0,0,0,50,0
6018,,唐家家仆,0,1,1,6003,gongjianshou,7,,116,4,,10000,137,88,0,10,150,0,0,0,0,0,50,0
6019,,唐家家仆,0,1,1,6005,youxia,8,,122,2,,10000,216,67,0,100,10,0,0,0,0,0,50,0
6020,,唐家家仆,0,1,1,6003,gongjianshou,8,,116,4,,10000,151,95,0,10,150,0,0,0,0,0,50,0
6021,,唐家书生,0,1,2,6002,daodunbing,8,,120,2,,10000,296,53,0,10,10,0,100,0,0,0,50,0
6022,,唐家书生,0,1,1,6003,gongjianshou,8,,116,4,,10000,166,101,0,10,150,0,0,0,0,0,50,0
6023,,唐家书生,0,1,1,6001,changqiangbing,8,,119,1,,10000,324,103,0,10,100,0,0,0,0,0,50,0
6024,,唐家书生,0,1,1,6008,wufu,8,,125,2,,10000,324,96,0,100,10,0,0,0,0,0,50,0
6025,,唐家书生,0,1,1,6001,changqiangbing,9,,119,1,,10000,284,88,0,10,100,0,0,0,0,0,50,0
6026,,唐家书生,0,1,1,6004,cike,9,,121,3,,10000,199,116,0,10,150,0,0,0,0,0,50,0
6027,,唐家侍卫,0,1,1,6006,wushi,9,,123,134,,10000,203,138,0,10,200,0,0,0,0,0,50,0
6028,,唐家侍卫,0,1,1,6011,mibaoshanzeitoumu,9,,147,146,,10000,310,124,0,10,100,0,0,0,0,0,50,0
6029,,唐家侍卫,0,1,1,6011,mibaoshanzeitoumu,9,,147,146,,10000,337,132,0,10,100,0,0,0,0,0,50,0
6030,,唐家侍卫,0,1,2,6002,daodunbing,9,,120,2,,10000,421,69,0,10,10,0,100,0,0,0,50,0
6031,,唐家侍卫,0,1,1,6003,gongjianshou,10,,116,4,,10000,320,177,0,10,150,0,0,0,0,0,50,0
6032,,唐家侍卫,0,1,1,6008,wufu,10,,125,2,,10000,458,126,0,100,10,0,0,0,0,0,50,0
6033,,明朝百姓,0,1,1,6004,cike,10,,121,3,,10000,312,175,0,10,150,0,0,0,0,0,50,0
6034,,明朝百姓,0,1,1,6008,wufu,10,,125,2,,10000,446,124,0,100,10,0,0,0,0,0,50,0
6035,,明朝悍匪,0,1,1,6001,changqiangbing,11,,119,1,,10000,490,147,0,10,100,0,0,0,0,0,50,0
6036,,明朝悍匪,0,1,2,6002,daodunbing,11,,120,2,,10000,612,101,0,10,10,0,100,0,0,0,50,0
6037,,明朝悍匪,0,1,2,6002,daodunbing,11,,120,2,,10000,669,110,0,10,10,0,100,0,0,0,50,0
6038,,明朝悍匪,0,1,1,6008,wufu,11,,125,2,,10000,535,150,0,100,10,0,0,0,0,0,50,0
6039,,明朝杂兵,0,1,1,6007,mibaoshanzei,12,,124,3,,10000,510,289,0,10,150,0,0,0,0,0,50,0
6040,,明朝杂兵,0,1,1,6003,gongjianshou,12,,116,4,,10000,510,289,0,10,150,0,0,0,0,0,50,0
6041,,明朝杂兵,0,1,1,6006,wushi,12,,123,134,,10000,415,280,0,10,200,0,0,0,0,0,50,0
6042,,明朝杂兵,0,1,1,6008,wufu,12,,125,2,,10000,633,179,0,100,10,0,0,0,0,0,50,0
6043,,明朝猛将,0,1,1,6006,wushi,13,,123,134,,10000,449,303,0,10,200,0,0,0,0,0,50,0
6044,,明朝猛将,0,1,2,6002,daodunbing,13,,120,2,,10000,856,142,0,10,10,0,100,0,0,0,50,0
6045,,明朝将军,0,1,1,6003,gongjianshou,13,,116,4,,10000,647,369,0,10,150,0,0,0,0,0,50,0
6046,,明朝将军,0,1,2,6002,daodunbing,13,,120,2,,10000,1155,193,0,10,10,0,100,0,0,0,50,0
6047,,明朝将军,0,1,1,6001,changqiangbing,14,,119,1,,10000,795,242,0,10,100,0,0,0,0,0,50,0
6048,,明朝将军,0,1,1,6006,wushi,14,,123,134,,10000,522,354,0,10,200,0,0,0,0,0,50,0
6049,,明朝将军,0,1,1,6007,mibaoshanzei,15,,124,3,,10000,598,343,0,10,150,0,0,0,0,0,50,0
6050,,明朝将军,0,1,1,6011,mibaoshanzeitoumu,15,,147,146,,10000,854,343,0,10,100,0,0,0,0,0,50,0
6051,,明朝将军,0,1,1,6004,cike,15,,121,3,,10000,747,428,0,10,150,0,0,0,0,0,50,0
6052,,明朝将军,0,1,1,6005,youxia,15,,122,2,,10000,1067,305,0,100,10,0,0,0,0,0,50,0
6053,,武当山猎人,0,1,1,6008,wufu,15,,125,2,,10000,972,271,0,100,10,0,0,0,0,0,50,0
6054,,武当山猎人,0,1,1,6005,youxia,15,,122,2,,10000,972,271,0,100,10,0,0,0,0,0,50,0
