##,,,,,,,,,
»î¶¯id,½±Àøid,³äÖµÄ¿±ê,½±ÀøDropId,½±Àø1,½±Àø2,½±Àø3,½±Àø4,½±Àø5,½±Àø6
int,int,int,int,string,string,string,string,string,string
1,1,10,90005,LifeAtt#1#50000,,,,,
1,2,50,90006,Item#13008#10,,,,,
1,3,100,90007,Item#13031#30,,,,,
1,4,200,90008,Item#13030#80,,,,,
2,5,10,90009,LifeAtt#4#30000,,,,,
2,6,50,90010,Item#19005#1,,,,,
2,7,100,90011,Item#19007#30,,,,,
2,8,200,90012,Item#13010#80,,,,,
3,9,10,90013,Item#19997#3,,,,,
3,10,50,90014,Item#19006#1,,,,,
3,11,100,90015,Item#19008#1,,,,,
3,12,200,90016,Item#13017#80,,,,,
