##,,,,,
物品ID,是武魂,品质,概率,数量,抽取类型
int,int,int,int,int,string
4001,,2,462,1,令牌
4002,,2,462,1,令牌
4003,,2,462,1,令牌
4004,,2,462,1,令牌
4005,,2,462,1,令牌
4006,,2,462,1,令牌
4007,,2,462,1,令牌
4008,,2,462,1,令牌
4009,,2,462,1,令牌
4010,,2,462,1,令牌
4011,,2,462,1,令牌
4012,,2,462,1,令牌
4013,,2,462,1,令牌
4014,,3,103,1,令牌
4015,,3,103,1,令牌
4016,,3,103,1,令牌
4017,,3,103,1,令牌
4018,,3,103,1,令牌
4019,,3,103,1,令牌
4020,,3,103,1,令牌
4021,,3,103,1,令牌
4022,,3,103,1,令牌
4023,,3,103,1,令牌
4024,,3,103,1,令牌
4025,,3,103,1,令牌
4026,,3,103,1,令牌
4027,,3,103,1,令牌
4028,,3,103,1,令牌
4029,,3,103,1,令牌
4030,,3,103,1,令牌
4031,,3,103,1,令牌
4032,,3,103,1,令牌
4033,,3,103,1,令牌
4034,,3,103,1,令牌
4035,,3,103,1,令牌
4036,,3,103,1,令牌
4037,,3,103,1,令牌
4053,,3,103,1,令牌
4054,,3,103,1,令牌
4057,,3,103,1,令牌
4058,,3,103,1,令牌
4206,,3,103,1,令牌
4038,,4,2,1,令牌
4039,,4,2,1,令牌
4040,,4,2,1,令牌
4041,,4,2,1,令牌
4042,,4,2,1,令牌
4043,,4,2,1,令牌
4044,,4,2,1,令牌
4045,,4,2,1,令牌
4046,,4,2,1,令牌
4047,,4,2,1,令牌
4048,,4,2,1,令牌
4049,,4,2,1,令牌
4050,,4,2,1,令牌
4051,,4,2,1,令牌
4052,,4,2,1,令牌
4055,,4,2,1,令牌
4056,,4,2,1,令牌
4059,,4,2,1,令牌
4060,,4,2,1,令牌
4061,,4,2,1,令牌
4062,,4,2,1,令牌
4063,,4,2,1,令牌
4064,,4,2,1,令牌
4065,,4,2,1,令牌
4066,,4,2,1,令牌
4067,,4,2,1,令牌
4068,,4,2,1,令牌
4069,,4,2,1,令牌
4070,,4,2,1,令牌
4084,,4,2,1,令牌
4085,,4,2,1,令牌
4086,,4,2,1,令牌
4087,,4,2,1,令牌
4088,,4,2,1,令牌
4089,,4,2,1,令牌
4090,,4,2,1,令牌
4091,,4,2,1,令牌
4092,,4,2,1,令牌
4093,,4,2,1,令牌
4094,,4,2,1,令牌
4095,,4,2,1,令牌
4145,,4,2,1,令牌
4146,,4,2,1,令牌
4147,,4,2,1,令牌
4148,,4,2,1,令牌
4149,,4,2,1,令牌
4150,,4,2,1,令牌
4151,,4,2,1,令牌
4152,,4,2,1,令牌
4161,,4,2,1,令牌
4162,,4,2,1,令牌
4163,,4,2,1,令牌
4164,,4,2,1,令牌
4165,,4,2,1,令牌
4166,,4,2,1,令牌
4167,,4,2,1,令牌
4168,,4,2,1,令牌
4169,,4,2,1,令牌
4170,,4,2,1,令牌
4202,,4,2,1,令牌
4203,,4,2,1,令牌
4204,,4,2,1,令牌
4205,,4,2,1,令牌
4207,,4,2,1,令牌
4210,,4,2,1,令牌
4212,,4,2,1,令牌
4213,,4,2,1,令牌
4214,,4,2,1,令牌
4215,,4,2,1,令牌
4071,,5,1,1,令牌
4072,,5,1,1,令牌
4073,,5,1,1,令牌
4074,,5,1,1,令牌
4075,,5,1,1,令牌
4076,,5,1,1,令牌
4077,,5,1,1,令牌
4078,,5,1,1,令牌
4079,,5,1,1,令牌
4080,,5,1,1,令牌
4081,,5,1,1,令牌
4082,,5,1,1,令牌
4083,,5,1,1,令牌
4096,,5,1,1,令牌
4097,,5,1,1,令牌
4098,,5,1,1,令牌
4099,,5,1,1,令牌
4100,,5,1,1,令牌
4121,,5,1,1,令牌
4122,,5,1,1,令牌
4123,,5,1,1,令牌
4153,,5,1,1,令牌
4154,,5,1,1,令牌
4155,,5,1,1,令牌
4156,,5,1,1,令牌
4157,,5,1,1,令牌
4158,,5,1,1,令牌
4159,,5,1,1,令牌
4160,,5,1,1,令牌
4171,,5,1,1,令牌
4208,,5,1,1,令牌
4216,,5,1,1,令牌
4217,,5,1,1,令牌
13004,1,3,50,1,令牌
13008,1,3,50,1,令牌
13011,1,3,50,1,令牌
13014,1,3,50,1,令牌
13018,1,3,50,1,令牌
13019,1,3,50,1,令牌
13023,1,3,50,1,令牌
13029,1,3,50,1,令牌
13004,1,3,50,2,令牌
13008,1,3,50,2,令牌
13011,1,3,50,2,令牌
13014,1,3,50,2,令牌
13018,1,3,50,2,令牌
13019,1,3,50,2,令牌
13023,1,3,50,2,令牌
13029,1,3,50,2,令牌
4014,,3,172,1,元宝
4015,,3,172,1,元宝
4016,,3,172,1,元宝
4017,,3,172,1,元宝
4018,,3,172,1,元宝
4019,,3,172,1,元宝
4020,,3,172,1,元宝
4021,,3,172,1,元宝
4022,,3,172,1,元宝
4023,,3,172,1,元宝
4024,,3,172,1,元宝
4025,,3,172,1,元宝
4026,,3,172,1,元宝
4027,,3,172,1,元宝
4028,,3,172,1,元宝
4029,,3,172,1,元宝
4030,,3,172,1,元宝
4031,,3,172,1,元宝
4032,,3,172,1,元宝
4033,,3,172,1,元宝
4034,,3,172,1,元宝
4035,,3,172,1,元宝
4036,,3,172,1,元宝
4037,,3,172,1,元宝
4053,,3,172,1,元宝
4054,,3,172,1,元宝
4057,,3,172,1,元宝
4058,,3,172,1,元宝
4206,,3,172,1,元宝
4038,,4,10,1,元宝
4039,,4,10,1,元宝
4040,,4,10,1,元宝
4041,,4,10,1,元宝
4042,,4,10,1,元宝
4043,,4,10,1,元宝
4044,,4,10,1,元宝
4045,,4,10,1,元宝
4046,,4,10,1,元宝
4047,,4,10,1,元宝
4048,,4,10,1,元宝
4049,,4,10,1,元宝
4050,,4,10,1,元宝
4051,,4,10,1,元宝
4052,,4,10,1,元宝
4055,,4,10,1,元宝
4056,,4,10,1,元宝
4059,,4,10,1,元宝
4060,,4,10,1,元宝
4061,,4,10,1,元宝
4062,,4,10,1,元宝
4063,,4,10,1,元宝
4064,,4,10,1,元宝
4065,,4,10,1,元宝
4066,,4,10,1,元宝
4067,,4,10,1,元宝
4068,,4,10,1,元宝
4069,,4,10,1,元宝
4070,,4,10,1,元宝
4084,,4,10,1,元宝
4085,,4,10,1,元宝
4086,,4,10,1,元宝
4087,,4,10,1,元宝
4088,,4,10,1,元宝
4089,,4,10,1,元宝
4090,,4,10,1,元宝
4091,,4,10,1,元宝
4092,,4,10,1,元宝
4093,,4,10,1,元宝
4094,,4,10,1,元宝
4095,,4,10,1,元宝
4145,,4,10,1,元宝
4146,,4,10,1,元宝
4147,,4,10,1,元宝
4148,,4,10,1,元宝
4149,,4,10,1,元宝
4150,,4,10,1,元宝
4151,,4,10,1,元宝
4152,,4,10,1,元宝
4161,,4,10,1,元宝
4162,,4,10,1,元宝
4163,,4,10,1,元宝
