##,,,,
模板ID,英雄,物品,装备,概率
int,string,string,string,int
1,1#2#2#0,3#7#4#1#5#0,3#0#4#0#5#0,484
2,1#2#2#0,3#6#4#2#5#0,3#0#4#0#5#0,484
3,1#2#2#0,3#7#4#0#5#1,3#0#4#0#5#0,484
4,1#2#2#0,3#6#4#1#5#1,3#0#4#0#5#0,484
5,1#2#2#0,3#8#4#0#5#0,3#0#4#0#5#0,484
6,1#2#2#0,3#5#4#2#5#1,3#0#4#0#5#0,484
7,1#1#2#0,3#7#4#1#5#1,3#0#4#0#5#0,667
8,1#1#2#0,3#6#4#2#5#1,3#0#4#0#5#0,667
9,1#1#2#0,3#6#4#1#5#2,3#0#4#0#5#0,667
10,1#1#2#1,3#8#4#0#5#0,3#0#4#0#5#0,166
11,1#1#2#1,3#7#4#1#5#0,3#0#4#0#5#0,166
12,1#1#2#1,3#6#4#2#5#0,3#0#4#0#5#0,166
13,1#1#2#1,3#6#4#1#5#1,3#0#4#0#5#0,166
14,1#1#2#1,3#7#4#0#5#1,3#0#4#0#5#0,166
15,1#1#2#1,3#5#4#2#5#1,3#0#4#0#5#0,166
16,1#2#2#1,3#7#4#0#5#0,3#0#4#0#5#0,166
17,1#2#2#1,3#6#4#1#5#0,3#0#4#0#5#0,166
18,1#2#2#1,3#6#4#0#5#1,3#0#4#0#5#0,166
19,1#2#2#1,3#5#4#1#5#1,3#0#4#0#5#0,166
20,1#2#2#1,3#5#4#2#5#0,3#0#4#0#5#0,166
21,1#2#2#1,3#4#4#2#5#1,3#0#4#0#5#0,166
22,1#1#2#2,3#7#4#0#5#0,3#0#4#0#5#0,20
23,1#1#2#2,3#6#4#1#5#0,3#0#4#0#5#0,20
24,1#1#2#2,3#6#4#0#5#1,3#0#4#0#5#0,20
25,1#1#2#2,3#5#4#1#5#1,3#0#4#0#5#0,20
26,1#1#2#2,3#5#4#2#5#0,3#0#4#0#5#0,20
27,1#0#2#2,3#7#4#1#5#0,3#0#4#0#5#0,20
28,1#0#2#2,3#7#4#0#5#1,3#0#4#0#5#0,20
29,1#0#2#2,3#6#4#1#5#1,3#0#4#0#5#0,20
30,1#0#2#2,3#6#4#2#5#0,3#0#4#0#5#0,20
31,1#0#2#2,3#5#4#2#5#1,3#0#4#0#5#0,20
32,1#3#2#0,3#7#4#0#5#0,3#0#4#0#5#0,300
33,1#3#2#0,3#6#4#1#5#0,3#0#4#0#5#0,300
34,1#3#2#0,3#6#4#0#5#1,3#0#4#0#5#0,300
35,1#3#2#0,3#5#4#1#5#1,3#0#4#0#5#0,300
36,1#3#2#0,3#4#4#2#5#1,3#0#4#0#5#0,300
37,1#3#2#0,3#5#4#2#5#0,3#0#4#0#5#0,300
38,1#0#2#3,3#5#4#1#5#1,3#0#4#0#5#0,103
39,1#0#2#1,3#8#4#1#5#0,3#0#4#0#5#0,200
40,1#0#2#1,3#7#4#2#5#0,3#0#4#0#5#0,200
41,1#0#2#1,3#7#4#1#5#1,3#0#4#0#5#0,200
42,1#0#2#1,3#8#4#0#5#1,3#0#4#0#5#0,200
43,1#0#2#1,3#6#4#2#5#1,3#0#4#0#5#0,200
