##,"0,1",,,,,,,,,,,,
ID,施法动作类型,施法特效类型,施法特效,聚气音效,施法音效,施法时间,子弹类型,子弹特效,子弹飞行速度,受击特效类型,受击特效,受击音效,屏幕特殊效果
int,int,int,utf8string,utf8string,utf8string,int,int,utf8string,int,int,int,utf8string,int
1,0,0,,,,0,0,diaochanBul,,,diaochanAim,dao.wav,
2,0,0,,,,0,0,,,,diaochanAim,jian.wav,
3,0,0,,,,0,0,,,,diaochanAim,jian.wav,
4,0,0,,,,0,1,gongjianshouBul1,,,gongjianshouAim1,faqiu.wav,
5,0,0,,,,0,1,shangguanBul1,,,shangguanAim1,faqiu.wav,
6,0,0,,xiangyu1.wav,,0,0,,,,,dao.wav,
7,0,0,,lvbu1.wav,,0,0,,,,,dao.wav,
8,0,0,,sunwu1.wav,,0,2,sunwuBul2,,,,dao.wav,
9,0,0,,yuefei1.wav,,0,0,,,,yuefeiAim2,dao.wav,
10,0,0,,guanyu1.wav,,0,0,,,,guanyuAim2,dao.wav,
11,0,0,,zhaoyun1.wav,,0,0,,,,,dao.wav,
12,0,0,,chengyaojin1.wav,,0,0,,,,,dao.wav,
13,0,0,,huamulan1.wav,,0,0,,,,,dao.wav,
14,0,0,,zhugeliang1.wav,,0,2,zhugeliangBul2,,,,faqiu.wav,
15,0,0,,simayi1.wav,,0,1,simayiBul2,,1,simayiAim2,faqiu.wav,
16,0,0,,shangyang1.wav,,0,1,shangyangBul2,,,shangyangAim2,faqiu.wav,
17,0,0,,zhangliang1.wav,,0,1,zhangliangBul2,,,zhangliangAim2,faqiu.wav,
18,0,0,,direnjie1.wav,,0,1,direnjieBul2,,,direnjieAim2,faqiu.wav,
19,0,0,,yangguifei1.wav,,0,1,shangguanBul2,,,shangguanAim2,faqiu.wav,
20,0,0,,jingke1.wav,,0,0,,,,jingkeAim2,jian.wav,
21,0,0,,xishi1.wav,,0,1,xishiBul2,,,xishiAim2,jian.wav,
22,0,0,,dioachan1.wav,,0,1,diaochanBul,,,diaochanAim,jian.wav,
23,0,0,,zhenhuan1.wav,,0,1,zhenhuanBul2,,,zhenhuanAim2,jian.wav,
24,0,0,,xiaoqiao1.wav,,0,0,,,,xiaoqiaoAim2,jian.wav,
25,0,0,,ximenqing1.wav,,0,1,ximenqingBul,,,ximenqingAim,jian.wav,
26,0,0,,zhangsanfeng1.wav,,0,1,zhangsfBul2,,,zhangsfAim2,jian.wav,
27,0,0,,lvdongbin1.wav,,0,0,,,,lvdongbinAim2,jian.wav,
28,0,0,,libai1.wav,,0,0,,,,,jian.wav,
29,0,0,,tangbohu1.wav,,0,0,,,1,tangbohuAim2,faqiu.wav,
30,0,0,,linchong1.wav,,0,1,linchongBul2,,,linchongAim2,jian.wav,
31,0,0,,wangchongyang1.wav,,0,2,wangchongyangBul2,,,wangchongyangAim2,jian.wav,
32,0,0,,liubei1.wav,,0,1,liubeiBul2,,,liubeiAim2,dao.wav,
33,0,0,,chenjisihan1.wav,,0,1,chengjisihanBul2,,1,chengjisihanAim2,faqiu.wav,
34,0,0,,zhuyuanzhang1.wav,,0,1,zhuyuanzhangBul2,,,zhuyuanzhangAim2,dao.wav,
35,0,0,,caocao1.wav,,0,1,caocaoBul2,,1,caocaoAim2,dao.wav,
36,0,0,,lishimin1.wav,,0,1,lishiminBul2,,,lishiminAim2,jian.wav,
37,0,0,,wuzetian1.wav,,0,3,wuzetianBul2,,,wuzetianAim2,faqiu.wav,
38,0,0,,qinshihuang1.wav,,0,0,,,,qinshihuangAim2,jian.wav,
39,0,0,,juqi.wav,,0,0,,,,Effaddbuff,shengshoudenchang.wav,
40,0,0,,juqi.wav,,0,2,zhugeliangBul2,,,,faqiu.wav,
