##这是一个注释,不读,,,,,,
效果ID,描述,统一目标,效果1,效果2,效果3,效果4,效果5
int,string,int,string,string,string,string,string
1,,,,执行伤害#1#10000#10,,,
2,,,连杀,执行伤害#1#16000#0,添加状态#9#6#10000,,
3,,,,执行伤害#5#12000#0,添加状态#9#7#10000,,
4,,,,执行伤害并加状态#3#7000#0#8#2000,,,
5,,,,执行伤害#1#16000#0,添加状态#9#9#10000,,
6,,,,执行伤害#4#12000#0,添加状态#9#10#10000,,
7,,,,暴击执行伤害#1#12000#0,添加状态#9#11#10000,,
8,,,执行伤害并吸血#1#7000#25#3000,执行伤害并吸血#1#7000#25#3000,执行伤害并吸血#1#7000#25#3000,添加状态#9#36#10000,
9,,1,,执行伤害并加状态#1#16000#0#12#10000,,,
10,,,,执行伤害并加状态#3#6000#0#12#2000,,,
11,,1,,执行伤害并加状态#5#8000#0#13#2000,,,
12,,1,,执行伤害并加状态#4#11500#0#14#3000,,,
13,,,,执行伤害#1#8000#0,执行伤害#8#8000#0,执行伤害#8#8000#0,
14,,,,低血多倍伤害#8#11500#0#3000#10000,,,
15,,,,执行伤害#7#11500#0,,,
16,,,,多重伤害#1#7000#0#3,,,
17,,,,执行伤害#6#16000#0,,,
18,,1,,执行伤害并加状态#6#14000#0#8#3000,,,
19,,1,,执行伤害并加状态#6#14000#0#15#3000,,,
20,,1,,执行伤害#1#14000#0,按参考属性改变属性#1#HP#-1000#0#生命上限,,
21,,,,女性多倍伤害#8#10000#0#12000,,,
22,,,,执行伤害#1#16000#0,添加状态#9#16#10000,,
23,,,,多重伤害#1#7000#0#3,,,
24,,1,,执行伤害并加状态#1#12000#0#17#4000,,,
25,,,,执行伤害并加状态#1#12000#0#18#10000,添加状态#9#19#10000,添加状态#9#46#10000,
26,,1,,执行伤害并加状态#4#14000#0#12#4000,,,
27,,,,执行伤害#3#9000#0,,,
28,,,,执行伤害#1#12000#0,添加状态#9#20#10000,,
29,,1,,执行伤害并加状态#3#12000#0#21#10000,,,
30,,1,,执行伤害#1#12000#0,低血条件死亡#1#3000#4000,,
31,,,,执行伤害#1#12000#0,添加状态#9#23#10000,,
32,,,,执行伤害#1#12000#0,添加状态#9#24#10000,,
33,,,,,按自身参考属性改变属性#2#HP#10000#0#攻击,,
34,,,,执行伤害#1#12000#0,添加状态#9#25#10000,,
35,,,连杀,执行伤害#1#28000#0,添加状态#9#26#10000,,
36,,,,执行伤害#5#18000#0,添加状态#9#27#10000,,
37,,,,执行伤害#3#10000#0,添加状态#3#8#2500,,
38,,,,执行伤害#1#24000#0,添加状态#9#28#10000,,
39,,,,执行伤害#4#18000#0,添加状态#9#29#10000,,
40,,,,暴击执行伤害#1#14000#0,添加状态#9#30#10000,,
41,,,执行伤害并吸血#1#9000#0#3000,执行伤害并吸血#1#9000#0#3000,执行伤害并吸血#1#9000#0#3000,添加状态#9#37#10000,
42,,1,,执行伤害#1#26000#0,添加状态#1#12#10000,,
43,,,,执行伤害#3#14000#0,添加状态#3#12#4000,,
44,,1,,执行伤害#5#17000#0,添加状态#5#13#4000,,
45,,1,,执行伤害#4#18000#0,添加状态#4#14#6000,,
46,,,,执行伤害#1#12000#0,执行伤害#8#14000#0,执行伤害#8#18000#0,
47,,,,低血多倍伤害#8#17000#0#3000#10000,,,
48,,,,执行伤害#7#22000#0,,,
