##任务系统配置,,,,,,,,,,,,,,,,
任务ID,任务类型,任务名称,任务描述,接取条件1,接取条件2,接取条件3,接取条件4,完成条件,任务重置周期,可完成次数,奖励类型1,奖励类型2,奖励类型3,关联界面,关联界面2,任务图标
int,int,string,string,string,string,string,string,string,string,int,string,string,string,string,int,string
11001,1,踏上征程,完成副本第一章所有关卡,自动接取,,,,通关副本章节#10001#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10001,renwu_022
11002,1,无尽征战,完成副本第二章所有关卡,前置#11001,,,,通关副本章节#10002#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10002,renwu_022
11003,1,无尽征战,完成副本第三章所有关卡,前置#11002,,,,通关副本章节#10003#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10003,renwu_022
11004,1,无尽征战,完成副本第四章所有关卡,前置#11003,,,,通关副本章节#10004#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10004,renwu_022
11005,1,无尽征战,完成副本第五章所有关卡,前置#11004,,,,通关副本章节#10005#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10005,renwu_022
11006,1,无尽征战,完成副本第六章所有关卡,前置#11005,,,,通关副本章节#10006#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10006,renwu_022
11007,1,无尽征战,完成副本第七章所有关卡,前置#11006,,,,通关副本章节#10007#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10007,renwu_022
11008,1,无尽征战,完成副本第八章所有关卡,前置#11007,,,,通关副本章节#10008#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10008,renwu_022
11009,1,无尽征战,完成副本第九章所有关卡,前置#11008,,,,通关副本章节#10009#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10009,renwu_022
11010,1,无尽征战,完成副本第十章所有关卡,前置#11009,,,,通关副本章节#10010#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10010,renwu_022
11011,1,无尽征战,完成副本第十一章所有关卡,前置#11010,,,,通关副本章节#10011#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10011,renwu_022
11012,1,无尽征战,完成副本第十二章所有关卡,前置#11011,,,,通关副本章节#10012#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10012,renwu_022
11013,1,无尽征战,完成副本第十三章所有关卡,前置#11012,,,,通关副本章节#10013#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10013,renwu_022
11014,1,无尽征战,完成副本第十四章所有关卡,前置#11013,,,,通关副本章节#10014#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10014,renwu_022
11015,1,无尽征战,完成副本第十五章所有关卡,前置#11014,,,,通关副本章节#10015#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10015,renwu_022
11016,1,无尽征战,完成副本第十六章所有关卡,前置#11015,,,,通关副本章节#10016#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10016,renwu_022
11017,1,无尽征战,完成副本第十七章所有关卡,前置#11016,,,,通关副本章节#10017#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10017,renwu_022
11018,1,无尽征战,完成副本第十八章所有关卡,前置#11017,,,,通关副本章节#10018#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10018,renwu_022
11019,1,无尽征战,完成副本第十九章所有关卡,前置#11018,,,,通关副本章节#10019#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10019,renwu_022
11020,1,无尽征战,完成副本第二十章所有关卡,前置#11019,,,,通关副本章节#10020#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10020,renwu_022
11021,1,无尽征战,完成副本第二十一章所有关卡,前置#11020,,,,通关副本章节#10021#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10021,renwu_022
11022,1,无尽征战,完成副本第二十二章所有关卡,前置#11021,,,,通关副本章节#10022#1,永不重置,1,LifeAtt#2#50,,,Dungeon,10022,renwu_022
