key,value,type
string,int,string
实体名字,1,string
实体类型,2,int
等级,3,int
帐号,4,string
角色位置,5,int
角色创建完成,6,int
战斗位置,7,int
战力,8,int
职业,9,int
怪物ID,10,int
怒气,11,int
等阶,12,int
经验,13,int
英雄经验,14,int
RS地址,15,string
连接号,16,int
HP,17,int
生命上限,18,int
BASEMAXHP,19,int
生命上限加值,20,int
生命上限提高万分比,21,int
英雄生命成长,22,int
攻击,23,int
基础攻击,24,int
攻击加值,25,int
攻击提高万分比,26,int
攻击成长,27,int
命中值,28,int
基础命中,29,int
命中附加值,30,int
命中提高万分比,31,int
命中成长,32,int
闪避,33,int
基础闪避,34,int
闪避附加值,35,int
闪避提高万分比,36,int
暴击,37,int
基础暴击,38,int
暴击加值,39,int
暴击提高万分比,40,int
暴击成长,41,int
韧性,42,int
基础韧性,43,int
韧性加值,44,int
韧性提高万分比,45,int
抵挡,46,int
基础抵挡,47,int
抵挡加值,48,int
抵挡提高万分比,49,int
破击,50,int
基础破击,51,int
破击加值,52,int
破击提高万分比,53,int
护甲,54,int
基础护甲,55,int
护甲加值,56,int
护甲提高万分比,57,int
破甲,58,int
基础破甲,59,int
破甲加值,60,int
破甲提高万分比,61,int
初始怒气,62,int
基础初始怒气,63,int
初始怒气加值,64,int
初始怒气提高万分比,65,int
主人实体,66,int
实体UUID,67,string
固定目标选择策略,68,int
体力,69,int
为Ghost打包,70,int
银两,71,int
元宝,72,int
武魂碎片数量,73,int
替换句柄,74,int
等阶进度,75,int
英雄转换次数,76,int
功能开关标志位,77,int
机器人标记,78,int
VIP等级,79,int
世界ID,80,int
荣誉,81,int
上次PVE时间,82,int
眩晕,83,int
混乱,84,int
性别,85,int
连杀,86,int
剩余复活次数,87,int
普攻目标选择,88,int
上次恢复体力时间,89,int
体力上限,90,int
玩家是否已经充值过,91,int
是否已经关闭att上浮提示,92,int
玩家首次消费,93,int
英雄是否有武魂,94,int
兑换ItemID,95,int
兑换数量,96,int
VIP经验,97,int
提示位,98,int
刚刚复活,99,int
破击成长,100,int
绝技伤害,101,int
绝技防御,102,int
英雄是否有装备,103,int
英雄价格,104,int
扫荡次数限制,105,int
扫荡点,106,int
扫荡上次恢复时间,107,int
属性系数,108,int
玩家历史最高战力,109,int
复活回血增强万分比,110,int
反弹能力,111,int
条件死亡能力,112,int
玩家头像,113,int
玩家头像类型,114,int
玩家精力,115,int
暴击伤害增强万分比,116,int
吸血增强万分比,117,int
免疫所有伤害,118,int
回光返照次数,119,int
万分比伤害增强,120,int
万分比伤害吸血万分比,121,int
暴击吸血万分比,122,int
连击率,123,int
品质,124,int
小招伤害,125,int
防御,126,int
基础防御,127,int
防御加值,128,int
防御加成万分比,129,int
防御成长,130,int
战斗前的固定战力,131,int
死亡前释放技能标记,132,int
体力剩余购买次数,133,int
军团贡献,134,int
暴击伤害展示,135,int
暴击吸血展示,136,int
连击展示,137,int
首充标记,138,int
累积充值,139,int
属性最大值,140,int
